Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5346.85it/s]
Loading datasets
Training
Trainable parameters: 0.289% (4.981M/1720.575M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.72it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.71it/s]
Iter 1: Val loss 3.769, Val took 0.222s
Iter 1: Train loss 3.681, Learning Rate 1.000e-04, It/sec 2.386, Tokens/sec 71.582, Trained Tokens 30, Peak mem 2.412 GB
Iter 180: Train loss 0.022, Learning Rate 1.000e-04, It/sec 2.707, Tokens/sec 208.437, Trained Tokens 11219, Peak mem 3.156 GB
Iter 181: Train loss 0.156, Learning Rate 1.000e-04, It/sec 2.419, Tokens/sec 123.370, Trained Tokens 11270, Peak mem 3.156 GB
Iter 182: Train loss 0.164, Learning Rate 1.000e-04, It/sec 2.029, Tokens/sec 60.866, Trained Tokens 11300, Peak mem 3.156 GB
Iter 183: Train loss 0.040, Learning Rate 1.000e-04, It/sec 2.689, Tokens/sec 83.359, Trained Tokens 11331, Peak mem 3.156 GB
Iter 184: Train loss 0.086, Learning Rate 1.000e-04, It/sec 2.232, Tokens/sec 147.342, Trained Tokens 11397, Peak mem 3.156 GB
Iter 185: Train loss 0.016, Learning Rate 1.000e-04, It/sec 2.717, Tokens/sec 209.239, Trained Tokens 11474, Peak mem 3.156 GB
Iter 186: Train loss 0.056, Learning Rate 1.000e-04, It/sec 2.475, Tokens/sec 121.292, Trained Tokens 11523, Peak mem 3.156 GB
Iter 187: Train loss 0.026, Learning Rate 1.000e-04, It/sec 3.004, Tokens/sec 90.117, Trained Tokens 11553, Peak mem 3.156 GB
Iter 188: Train loss 0.085, Learning Rate 1.000e-04, It/sec 2.722, Tokens/sec 138.831, Trained Tokens 11604, Peak mem 3.156 GB
Iter 189: Train loss 0.041, Learning Rate 1.000e-04, It/sec 2.682, Tokens/sec 80.459, Trained Tokens 11634, Peak mem 3.156 GB
Iter 190: Train loss 0.068, Learning Rate 1.000e-04, It/sec 1.875, Tokens/sec 170.583, Trained Tokens 11725, Peak mem 3.156 GB
Iter 191: Train loss 0.073, Learning Rate 1.000e-04, It/sec 2.392, Tokens/sec 112.405, Trained Tokens 11772, Peak mem 3.156 GB
Iter 192: Train loss 0.068, Learning Rate 1.000e-04, It/sec 1.927, Tokens/sec 98.273, Trained Tokens 11823, Peak mem 3.156 GB
Iter 193: Train loss 0.046, Learning Rate 1.000e-04, It/sec 3.022, Tokens/sec 93.687, Trained Tokens 11854, Peak mem 3.156 GB
Iter 194: Train loss 0.028, Learning Rate 1.000e-04, It/sec 2.717, Tokens/sec 209.245, Trained Tokens 11931, Peak mem 3.156 GB
Iter 195: Train loss 0.032, Learning Rate 1.000e-04, It/sec 2.735, Tokens/sec 84.790, Trained Tokens 11962, Peak mem 3.156 GB
Iter 196: Train loss 0.037, Learning Rate 1.000e-04, It/sec 3.026, Tokens/sec 154.306, Trained Tokens 12013, Peak mem 3.156 GB
Iter 197: Train loss 0.065, Learning Rate 1.000e-04, It/sec 2.289, Tokens/sec 116.736, Trained Tokens 12064, Peak mem 3.156 GB
Iter 198: Train loss 0.074, Learning Rate 1.000e-04, It/sec 2.048, Tokens/sec 186.327, Trained Tokens 12155, Peak mem 3.156 GB
Iter 199: Train loss 0.041, Learning Rate 1.000e-04, It/sec 2.375, Tokens/sec 121.132, Trained Tokens 12206, Peak mem 3.156 GB

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.83it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.83it/s]
Iter 200: Val loss 0.044, Val took 0.210s
Iter 200: Train loss 0.376, Learning Rate 1.000e-04, It/sec 2.212, Tokens/sec 157.068, Trained Tokens 12277, Peak mem 3.156 GB
Iter 201: Train loss 0.055, Learning Rate 1.000e-04, It/sec 2.035, Tokens/sec 61.053, Trained Tokens 12307, Peak mem 3.156 GB
Iter 202: Train loss 0.060, Learning Rate 1.000e-04, It/sec 2.798, Tokens/sec 81.137, Trained Tokens 12336, Peak mem 3.156 GB
Iter 203: Train loss 0.093, Learning Rate 1.000e-04, It/sec 3.227, Tokens/sec 93.590, Trained Tokens 12365, Peak mem 3.156 GB
Iter 204: Train loss 0.028, Learning Rate 1.000e-04, It/sec 2.996, Tokens/sec 89.891, Trained Tokens 12395, Peak mem 3.156 GB
Iter 205: Train loss 0.154, Learning Rate 1.000e-04, It/sec 2.068, Tokens/sec 179.927, Trained Tokens 12482, Peak mem 3.156 GB
Iter 206: Train loss 0.043, Learning Rate 1.000e-04, It/sec 2.709, Tokens/sec 83.991, Trained Tokens 12513, Peak mem 3.156 GB
Iter 207: Train loss 0.042, Learning Rate 1.000e-04, It/sec 2.721, Tokens/sec 84.339, Trained Tokens 12544, Peak mem 3.156 GB
Iter 208: Train loss 0.154, Learning Rate 1.000e-04, It/sec 2.055, Tokens/sec 256.857, Trained Tokens 12669, Peak mem 3.156 GB
Iter 209: Train loss 0.020, Learning Rate 1.000e-04, It/sec 2.721, Tokens/sec 209.527, Trained Tokens 12746, Peak mem 3.156 GB
Iter 210: Train loss 0.181, Learning Rate 1.000e-04, It/sec 2.443, Tokens/sec 173.444, Trained Tokens 12817, Peak mem 3.156 GB
Iter 211: Train loss 0.034, Learning Rate 1.000e-04, It/sec 2.475, Tokens/sec 76.713, Trained Tokens 12848, Peak mem 3.156 GB
Iter 212: Train loss 0.139, Learning Rate 1.000e-04, It/sec 2.234, Tokens/sec 113.948, Trained Tokens 12899, Peak mem 3.156 GB
Iter 213: Train loss 0.088, Learning Rate 1.000e-04, It/sec 2.725, Tokens/sec 138.951, Trained Tokens 12950, Peak mem 3.156 GB
Iter 214: Train loss 0.019, Learning Rate 1.000e-04, It/sec 2.992, Tokens/sec 89.749, Trained Tokens 12980, Peak mem 3.156 GB
Iter 215: Train loss 0.082, Learning Rate 1.000e-04, It/sec 3.020, Tokens/sec 87.571, Trained Tokens 13009, Peak mem 3.156 GB
Iter 216: Train loss 0.068, Learning Rate 1.000e-04, It/sec 1.895, Tokens/sec 248.196, Trained Tokens 13140, Peak mem 3.156 GB
Iter 217: Train loss 0.087, Learning Rate 1.000e-04, It/sec 1.745, Tokens/sec 218.163, Trained Tokens 13265, Peak mem 3.156 GB
Iter 218: Train loss 0.010, Learning Rate 1.000e-04, It/sec 2.388, Tokens/sec 183.863, Trained Tokens 13342, Peak mem 3.156 GB
Iter 219: Train loss 0.019, Learning Rate 1.000e-04, It/sec 2.454, Tokens/sec 188.995, Trained Tokens 13419, Peak mem 3.156 GB
Iter 220: Train loss 0.068, Learning Rate 1.000e-04, It/sec 2.659, Tokens/sec 135.599, Trained Tokens 13470, Peak mem 3.156 GB
Iter 221: Train loss 0.074, Learning Rate 1.000e-04, It/sec 1.734, Tokens/sec 227.165, Trained Tokens 13601, Peak mem 3.156 GB
Iter 222: Train loss 0.044, Learning Rate 1.000e-04, It/sec 2.717, Tokens/sec 138.574, Trained Tokens 13652, Peak mem 3.156 GB
Iter 223: Train loss 0.037, Learning Rate 1.000e-04, It/sec 3.008, Tokens/sec 93.251, Trained Tokens 13683, Peak mem 3.156 GB
Iter 224: Train loss 0.012, Learning Rate 1.000e-04, It/sec 2.697, Tokens/sec 207.699, Trained Tokens 13760, Peak mem 3.156 GB
Iter 225: Train loss 0.024, Learning Rate 1.000e-04, It/sec 2.700, Tokens/sec 83.701, Trained Tokens 13791, Peak mem 3.156 GB
Iter 226: Train loss 0.043, Learning Rate 1.000e-04, It/sec 2.078, Tokens/sec 272.260, Trained Tokens 13922, Peak mem 3.156 GB
Iter 227: Train loss 0.036, Learning Rate 1.000e-04, It/sec 2.752, Tokens/sec 82.567, Trained Tokens 13952, Peak mem 3.156 GB
Iter 228: Train loss 0.098, Learning Rate 1.000e-04, It/sec 1.953, Tokens/sec 99.581, Trained Tokens 14003, Peak mem 3.156 GB
Iter 229: Train loss 0.063, Learning Rate 1.000e-04, It/sec 2.456, Tokens/sec 71.214, Trained Tokens 14032, Peak mem 3.156 GB
Iter 230: Train loss 0.048, Learning Rate 1.000e-04, It/sec 2.711, Tokens/sec 138.243, Trained Tokens 14083, Peak mem 3.156 GB
Iter 231: Train loss 0.054, Learning Rate 1.000e-04, It/sec 2.066, Tokens/sec 101.225, Trained Tokens 14132, Peak mem 3.156 GB
Iter 232: Train loss 0.011, Learning Rate 1.000e-04, It/sec 2.709, Tokens/sec 208.568, Trained Tokens 14209, Peak mem 3.156 GB
Iter 233: Train loss 0.046, Learning Rate 1.000e-04, It/sec 2.974, Tokens/sec 92.192, Trained Tokens 14240, Peak mem 3.156 GB
Iter 234: Train loss 0.072, Learning Rate 1.000e-04, It/sec 2.724, Tokens/sec 128.044, Trained Tokens 14287, Peak mem 3.156 GB
Iter 235: Train loss 0.184, Learning Rate 1.000e-04, It/sec 2.456, Tokens/sec 117.882, Trained Tokens 14335, Peak mem 3.156 GB
Iter 236: Train loss 0.018, Learning Rate 1.000e-04, It/sec 2.235, Tokens/sec 67.046, Trained Tokens 14365, Peak mem 3.156 GB
Iter 237: Train loss 0.007, Learning Rate 1.000e-04, It/sec 2.744, Tokens/sec 211.260, Trained Tokens 14442, Peak mem 3.156 GB
Iter 238: Train loss 0.062, Learning Rate 1.000e-04, It/sec 1.838, Tokens/sec 240.778, Trained Tokens 14573, Peak mem 3.156 GB
Iter 239: Train loss 0.012, Learning Rate 1.000e-04, It/sec 2.222, Tokens/sec 66.652, Trained Tokens 14603, Peak mem 3.156 GB
Iter 240: Train loss 0.114, Learning Rate 1.000e-04, It/sec 2.437, Tokens/sec 124.282, Trained Tokens 14654, Peak mem 3.156 GB
Iter 241: Train loss 0.048, Learning Rate 1.000e-04, It/sec 2.450, Tokens/sec 124.926, Trained Tokens 14705, Peak mem 3.156 GB
Iter 242: Train loss 0.005, Learning Rate 1.000e-04, It/sec 2.985, Tokens/sec 89.547, Trained Tokens 14735, Peak mem 3.156 GB
Iter 243: Train loss 0.047, Learning Rate 1.000e-04, It/sec 2.071, Tokens/sec 271.341, Trained Tokens 14866, Peak mem 3.156 GB
Iter 244: Train loss 0.047, Learning Rate 1.000e-04, It/sec 2.247, Tokens/sec 159.533, Trained Tokens 14937, Peak mem 3.156 GB
Iter 245: Train loss 0.013, Learning Rate 1.000e-04, It/sec 2.257, Tokens/sec 67.707, Trained Tokens 14967, Peak mem 3.156 GB
Iter 246: Train loss 0.047, Learning Rate 1.000e-04, It/sec 2.519, Tokens/sec 128.462, Trained Tokens 15018, Peak mem 3.156 GB
Iter 247: Train loss 0.064, Learning Rate 1.000e-04, It/sec 1.883, Tokens/sec 171.318, Trained Tokens 15109, Peak mem 3.156 GB
Iter 248: Train loss 0.085, Learning Rate 1.000e-04, It/sec 2.408, Tokens/sec 115.586, Trained Tokens 15157, Peak mem 3.156 GB
Iter 249: Train loss 0.072, Learning Rate 1.000e-04, It/sec 2.719, Tokens/sec 179.479, Trained Tokens 15223, Peak mem 3.156 GB
Iter 250: Train loss 0.106, Learning Rate 1.000e-04, It/sec 2.428, Tokens/sec 172.389, Trained Tokens 15294, Peak mem 3.156 GB
Iter 251: Train loss 0.009, Learning Rate 1.000e-04, It/sec 2.706, Tokens/sec 208.327, Trained Tokens 15371, Peak mem 3.156 GB
Iter 252: Train loss 0.071, Learning Rate 1.000e-04, It/sec 2.464, Tokens/sec 125.662, Trained Tokens 15422, Peak mem 3.156 GB
Iter 253: Train loss 0.016, Learning Rate 1.000e-04, It/sec 2.731, Tokens/sec 81.944, Trained Tokens 15452, Peak mem 3.156 GB
Iter 254: Train loss 0.025, Learning Rate 1.000e-04, It/sec 2.055, Tokens/sec 269.212, Trained Tokens 15583, Peak mem 3.156 GB
Iter 255: Train loss 0.123, Learning Rate 1.000e-04, It/sec 2.445, Tokens/sec 173.606, Trained Tokens 15654, Peak mem 3.156 GB
Iter 256: Train loss 0.014, Learning Rate 1.000e-04, It/sec 2.056, Tokens/sec 269.297, Trained Tokens 15785, Peak mem 3.156 GB
Iter 257: Train loss 0.145, Learning Rate 1.000e-04, It/sec 2.427, Tokens/sec 72.822, Trained Tokens 15815, Peak mem 3.156 GB
Iter 258: Train loss 0.090, Learning Rate 1.000e-04, It/sec 1.904, Tokens/sec 238.026, Trained Tokens 15940, Peak mem 3.156 GB
Iter 259: Train loss 0.047, Learning Rate 1.000e-04, It/sec 2.069, Tokens/sec 258.660, Trained Tokens 16065, Peak mem 3.156 GB
Iter 260: Train loss 0.013, Learning Rate 1.000e-04, It/sec 2.462, Tokens/sec 125.587, Trained Tokens 16116, Peak mem 3.156 GB
Iter 261: Train loss 0.002, Learning Rate 1.000e-04, It/sec 2.128, Tokens/sec 163.865, Trained Tokens 16193, Peak mem 3.156 GB
Iter 262: Train loss 0.080, Learning Rate 1.000e-04, It/sec 2.636, Tokens/sec 79.085, Trained Tokens 16223, Peak mem 3.156 GB
Iter 263: Train loss 0.002, Learning Rate 1.000e-04, It/sec 2.711, Tokens/sec 208.749, Trained Tokens 16300, Peak mem 3.156 GB
Iter 264: Train loss 0.002, Learning Rate 1.000e-04, It/sec 2.707, Tokens/sec 208.405, Trained Tokens 16377, Peak mem 3.156 GB
Iter 265: Train loss 0.183, Learning Rate 1.000e-04, It/sec 2.244, Tokens/sec 69.562, Trained Tokens 16408, Peak mem 3.156 GB
Iter 266: Train loss 0.126, Learning Rate 1.000e-04, It/sec 2.449, Tokens/sec 115.093, Trained Tokens 16455, Peak mem 3.156 GB
Iter 267: Train loss 0.097, Learning Rate 1.000e-04, It/sec 2.443, Tokens/sec 75.728, Trained Tokens 16486, Peak mem 3.156 GB
Iter 268: Train loss 0.021, Learning Rate 1.000e-04, It/sec 2.718, Tokens/sec 138.607, Trained Tokens 16537, Peak mem 3.156 GB
Iter 269: Train loss 0.027, Learning Rate 1.000e-04, It/sec 2.705, Tokens/sec 137.966, Trained Tokens 16588, Peak mem 3.156 GB
Iter 270: Train loss 0.078, Learning Rate 1.000e-04, It/sec 2.253, Tokens/sec 110.399, Trained Tokens 16637, Peak mem 3.156 GB
Iter 271: Train loss 0.023, Learning Rate 1.000e-04, It/sec 3.013, Tokens/sec 90.403, Trained Tokens 16667, Peak mem 3.156 GB
Iter 272: Train loss 0.001, Learning Rate 1.000e-04, It/sec 2.694, Tokens/sec 207.429, Trained Tokens 16744, Peak mem 3.156 GB
Iter 273: Train loss 0.064, Learning Rate 1.000e-04, It/sec 2.052, Tokens/sec 178.503, Trained Tokens 16831, Peak mem 3.156 GB
Iter 274: Train loss 0.003, Learning Rate 1.000e-04, It/sec 2.732, Tokens/sec 210.346, Trained Tokens 16908, Peak mem 3.156 GB
Iter 275: Train loss 0.134, Learning Rate 1.000e-04, It/sec 2.451, Tokens/sec 174.009, Trained Tokens 16979, Peak mem 3.156 GB
Iter 276: Train loss 0.011, Learning Rate 1.000e-04, It/sec 2.693, Tokens/sec 207.392, Trained Tokens 17056, Peak mem 3.156 GB
Iter 277: Train loss 0.003, Learning Rate 1.000e-04, It/sec 2.761, Tokens/sec 212.627, Trained Tokens 17133, Peak mem 3.156 GB
Iter 278: Train loss 0.100, Learning Rate 1.000e-04, It/sec 1.778, Tokens/sec 232.866, Trained Tokens 17264, Peak mem 3.168 GB
Iter 279: Train loss 0.048, Learning Rate 1.000e-04, It/sec 2.979, Tokens/sec 92.347, Trained Tokens 17295, Peak mem 3.168 GB
Iter 280: Train loss 0.044, Learning Rate 1.000e-04, It/sec 2.258, Tokens/sec 115.182, Trained Tokens 17346, Peak mem 3.168 GB
Iter 281: Train loss 0.012, Learning Rate 1.000e-04, It/sec 3.024, Tokens/sec 87.699, Trained Tokens 17375, Peak mem 3.168 GB
Iter 282: Train loss 0.012, Learning Rate 1.000e-04, It/sec 3.053, Tokens/sec 91.589, Trained Tokens 17405, Peak mem 3.168 GB
Iter 283: Train loss 0.070, Learning Rate 1.000e-04, It/sec 2.265, Tokens/sec 296.764, Trained Tokens 17536, Peak mem 3.168 GB
Iter 284: Train loss 0.015, Learning Rate 1.000e-04, It/sec 2.038, Tokens/sec 63.171, Trained Tokens 17567, Peak mem 3.168 GB
Iter 285: Train loss 0.066, Learning Rate 1.000e-04, It/sec 2.067, Tokens/sec 188.122, Trained Tokens 17658, Peak mem 3.168 GB
Iter 286: Train loss 0.050, Learning Rate 1.000e-04, It/sec 3.433, Tokens/sec 99.570, Trained Tokens 17687, Peak mem 3.168 GB
Iter 287: Train loss 0.048, Learning Rate 1.000e-04, It/sec 2.377, Tokens/sec 116.491, Trained Tokens 17736, Peak mem 3.168 GB
Iter 288: Train loss 0.077, Learning Rate 1.000e-04, It/sec 2.483, Tokens/sec 126.626, Trained Tokens 17787, Peak mem 3.168 GB
Iter 289: Train loss 0.005, Learning Rate 1.000e-04, It/sec 2.097, Tokens/sec 161.479, Trained Tokens 17864, Peak mem 3.168 GB
Iter 290: Train loss 0.080, Learning Rate 1.000e-04, It/sec 1.917, Tokens/sec 212.782, Trained Tokens 17975, Peak mem 3.168 GB
Iter 291: Train loss 0.060, Learning Rate 1.000e-04, It/sec 2.069, Tokens/sec 101.368, Trained Tokens 18024, Peak mem 3.168 GB
Iter 292: Train loss 0.032, Learning Rate 1.000e-04, It/sec 2.717, Tokens/sec 138.572, Trained Tokens 18075, Peak mem 3.168 GB
Iter 293: Train loss 0.042, Learning Rate 1.000e-04, It/sec 2.480, Tokens/sec 163.658, Trained Tokens 18141, Peak mem 3.168 GB
Iter 294: Train loss 0.004, Learning Rate 1.000e-04, It/sec 2.717, Tokens/sec 209.186, Trained Tokens 18218, Peak mem 3.168 GB
Iter 295: Train loss 0.059, Learning Rate 1.000e-04, It/sec 2.454, Tokens/sec 120.244, Trained Tokens 18267, Peak mem 3.168 GB
Iter 296: Train loss 0.015, Learning Rate 1.000e-04, It/sec 2.709, Tokens/sec 83.984, Trained Tokens 18298, Peak mem 3.168 GB
Iter 297: Train loss 0.004, Learning Rate 1.000e-04, It/sec 2.730, Tokens/sec 210.191, Trained Tokens 18375, Peak mem 3.168 GB
Iter 298: Train loss 0.041, Learning Rate 1.000e-04, It/sec 2.069, Tokens/sec 105.497, Trained Tokens 18426, Peak mem 3.168 GB
Iter 299: Train loss 0.053, Learning Rate 1.000e-04, It/sec 2.430, Tokens/sec 119.065, Trained Tokens 18475, Peak mem 3.168 GB
Iter 300: Train loss 0.019, Learning Rate 1.000e-04, It/sec 2.464, Tokens/sec 120.760, Trained Tokens 18524, Peak mem 3.168 GB
Iter 301: Train loss 0.083, Learning Rate 1.000e-04, It/sec 1.938, Tokens/sec 242.206, Trained Tokens 18649, Peak mem 3.168 GB
Iter 302: Train loss 0.065, Learning Rate 1.000e-04, It/sec 2.974, Tokens/sec 92.183, Trained Tokens 18680, Peak mem 3.168 GB
Iter 303: Train loss 0.034, Learning Rate 1.000e-04, It/sec 2.983, Tokens/sec 89.493, Trained Tokens 18710, Peak mem 3.168 GB
Iter 304: Train loss 0.004, Learning Rate 1.000e-04, It/sec 2.724, Tokens/sec 209.757, Trained Tokens 18787, Peak mem 3.168 GB
Iter 305: Train loss 0.056, Learning Rate 1.000e-04, It/sec 2.224, Tokens/sec 202.404, Trained Tokens 18878, Peak mem 3.168 GB
Iter 306: Train loss 0.032, Learning Rate 1.000e-04, It/sec 2.955, Tokens/sec 85.703, Trained Tokens 18907, Peak mem 3.168 GB
Iter 307: Train loss 0.015, Learning Rate 1.000e-04, It/sec 1.933, Tokens/sec 253.226, Trained Tokens 19038, Peak mem 3.168 GB
Iter 308: Train loss 0.042, Learning Rate 1.000e-04, It/sec 3.006, Tokens/sec 90.188, Trained Tokens 19068, Peak mem 3.168 GB
Iter 309: Train loss 0.014, Learning Rate 1.000e-04, It/sec 2.065, Tokens/sec 187.941, Trained Tokens 19159, Peak mem 3.168 GB
Iter 310: Train loss 0.003, Learning Rate 1.000e-04, It/sec 2.717, Tokens/sec 209.233, Trained Tokens 19236, Peak mem 3.168 GB
Iter 311: Train loss 0.120, Learning Rate 1.000e-04, It/sec 2.054, Tokens/sec 217.680, Trained Tokens 19342, Peak mem 3.168 GB
Iter 312: Train loss 0.006, Learning Rate 1.000e-04, It/sec 2.714, Tokens/sec 208.972, Trained Tokens 19419, Peak mem 3.168 GB
Iter 313: Train loss 0.108, Learning Rate 1.000e-04, It/sec 2.719, Tokens/sec 81.563, Trained Tokens 19449, Peak mem 3.168 GB
Iter 314: Train loss 0.054, Learning Rate 1.000e-04, It/sec 2.737, Tokens/sec 79.365, Trained Tokens 19478, Peak mem 3.168 GB
Iter 315: Train loss 0.045, Learning Rate 1.000e-04, It/sec 2.066, Tokens/sec 270.670, Trained Tokens 19609, Peak mem 3.168 GB
Iter 316: Train loss 0.020, Learning Rate 1.000e-04, It/sec 2.958, Tokens/sec 88.727, Trained Tokens 19639, Peak mem 3.168 GB
Iter 317: Train loss 0.051, Learning Rate 1.000e-04, It/sec 2.454, Tokens/sec 125.166, Trained Tokens 19690, Peak mem 3.168 GB
Iter 318: Train loss 0.027, Learning Rate 1.000e-04, It/sec 2.721, Tokens/sec 138.776, Trained Tokens 19741, Peak mem 3.168 GB
Iter 319: Train loss 0.007, Learning Rate 1.000e-04, It/sec 2.701, Tokens/sec 207.994, Trained Tokens 19818, Peak mem 3.168 GB
Iter 320: Train loss 0.007, Learning Rate 1.000e-04, It/sec 2.688, Tokens/sec 206.974, Trained Tokens 19895, Peak mem 3.168 GB
Iter 321: Train loss 0.108, Learning Rate 1.000e-04, It/sec 2.268, Tokens/sec 115.648, Trained Tokens 19946, Peak mem 3.168 GB
Iter 322: Train loss 0.010, Learning Rate 1.000e-04, It/sec 2.709, Tokens/sec 83.968, Trained Tokens 19977, Peak mem 3.168 GB
Iter 323: Train loss 0.099, Learning Rate 1.000e-04, It/sec 1.918, Tokens/sec 251.279, Trained Tokens 20108, Peak mem 3.168 GB
Iter 324: Train loss 0.004, Learning Rate 1.000e-04, It/sec 2.711, Tokens/sec 208.735, Trained Tokens 20185, Peak mem 3.168 GB
Iter 325: Train loss 0.007, Learning Rate 1.000e-04, It/sec 3.017, Tokens/sec 93.528, Trained Tokens 20216, Peak mem 3.168 GB
Iter 326: Train loss 0.003, Learning Rate 1.000e-04, It/sec 2.741, Tokens/sec 211.032, Trained Tokens 20293, Peak mem 3.168 GB
Iter 327: Train loss 0.035, Learning Rate 1.000e-04, It/sec 2.703, Tokens/sec 83.790, Trained Tokens 20324, Peak mem 3.168 GB
Iter 328: Train loss 0.003, Learning Rate 1.000e-04, It/sec 2.758, Tokens/sec 212.401, Trained Tokens 20401, Peak mem 3.168 GB
Iter 329: Train loss 0.087, Learning Rate 1.000e-04, It/sec 2.049, Tokens/sec 145.466, Trained Tokens 20472, Peak mem 3.168 GB
Iter 330: Train loss 0.008, Learning Rate 1.000e-04, It/sec 2.723, Tokens/sec 84.423, Trained Tokens 20503, Peak mem 3.168 GB
Iter 331: Train loss 0.042, Learning Rate 1.000e-04, It/sec 2.237, Tokens/sec 203.568, Trained Tokens 20594, Peak mem 3.168 GB
Iter 332: Train loss 0.014, Learning Rate 1.000e-04, It/sec 2.455, Tokens/sec 76.113, Trained Tokens 20625, Peak mem 3.168 GB
Iter 333: Train loss 0.002, Learning Rate 1.000e-04, It/sec 2.731, Tokens/sec 210.317, Trained Tokens 20702, Peak mem 3.168 GB
Iter 334: Train loss 0.019, Learning Rate 1.000e-04, It/sec 2.749, Tokens/sec 79.727, Trained Tokens 20731, Peak mem 3.168 GB
Iter 335: Train loss 0.001, Learning Rate 1.000e-04, It/sec 2.753, Tokens/sec 211.977, Trained Tokens 20808, Peak mem 3.168 GB
Iter 336: Train loss 0.037, Learning Rate 1.000e-04, It/sec 2.726, Tokens/sec 128.105, Trained Tokens 20855, Peak mem 3.168 GB
Iter 337: Train loss 0.003, Learning Rate 1.000e-04, It/sec 2.746, Tokens/sec 211.440, Trained Tokens 20932, Peak mem 3.168 GB
Iter 338: Train loss 0.033, Learning Rate 1.000e-04, It/sec 2.265, Tokens/sec 149.477, Trained Tokens 20998, Peak mem 3.168 GB
Iter 339: Train loss 0.064, Learning Rate 1.000e-04, It/sec 3.014, Tokens/sec 93.428, Trained Tokens 21029, Peak mem 3.168 GB
Iter 340: Train loss 0.039, Learning Rate 1.000e-04, It/sec 2.436, Tokens/sec 75.526, Trained Tokens 21060, Peak mem 3.168 GB
Iter 341: Train loss 0.112, Learning Rate 1.000e-04, It/sec 2.454, Tokens/sec 120.229, Trained Tokens 21109, Peak mem 3.168 GB
Iter 342: Train loss 0.095, Learning Rate 1.000e-04, It/sec 2.709, Tokens/sec 138.168, Trained Tokens 21160, Peak mem 3.168 GB
Iter 343: Train loss 0.043, Learning Rate 1.000e-04, It/sec 1.923, Tokens/sec 213.399, Trained Tokens 21271, Peak mem 3.168 GB
Iter 344: Train loss 0.025, Learning Rate 1.000e-04, It/sec 2.752, Tokens/sec 140.347, Trained Tokens 21322, Peak mem 3.168 GB
Iter 345: Train loss 0.022, Learning Rate 1.000e-04, It/sec 2.254, Tokens/sec 67.619, Trained Tokens 21352, Peak mem 3.168 GB
Iter 346: Train loss 0.008, Learning Rate 1.000e-04, It/sec 2.270, Tokens/sec 68.114, Trained Tokens 21382, Peak mem 3.168 GB
Iter 347: Train loss 0.020, Learning Rate 1.000e-04, It/sec 2.703, Tokens/sec 81.087, Trained Tokens 21412, Peak mem 3.168 GB
Iter 348: Train loss 0.017, Learning Rate 1.000e-04, It/sec 2.684, Tokens/sec 80.526, Trained Tokens 21442, Peak mem 3.168 GB
Iter 349: Train loss 0.041, Learning Rate 1.000e-04, It/sec 2.256, Tokens/sec 115.077, Trained Tokens 21493, Peak mem 3.168 GB
Iter 350: Train loss 0.047, Learning Rate 1.000e-04, It/sec 2.731, Tokens/sec 84.670, Trained Tokens 21524, Peak mem 3.168 GB
Iter 351: Train loss 0.027, Learning Rate 1.000e-04, It/sec 2.987, Tokens/sec 92.590, Trained Tokens 21555, Peak mem 3.168 GB
Iter 352: Train loss 0.022, Learning Rate 1.000e-04, It/sec 2.262, Tokens/sec 115.362, Trained Tokens 21606, Peak mem 3.168 GB
Iter 353: Train loss 0.033, Learning Rate 1.000e-04, It/sec 2.731, Tokens/sec 84.670, Trained Tokens 21637, Peak mem 3.168 GB
Iter 354: Train loss 0.026, Learning Rate 1.000e-04, It/sec 2.481, Tokens/sec 124.034, Trained Tokens 21687, Peak mem 3.168 GB
Iter 355: Train loss 0.001, Learning Rate 1.000e-04, It/sec 2.706, Tokens/sec 208.375, Trained Tokens 21764, Peak mem 3.168 GB
Iter 356: Train loss 0.012, Learning Rate 1.000e-04, It/sec 2.678, Tokens/sec 83.008, Trained Tokens 21795, Peak mem 3.168 GB
Iter 357: Train loss 0.014, Learning Rate 1.000e-04, It/sec 3.012, Tokens/sec 93.372, Trained Tokens 21826, Peak mem 3.168 GB
Iter 358: Train loss 0.062, Learning Rate 1.000e-04, It/sec 2.438, Tokens/sec 114.592, Trained Tokens 21873, Peak mem 3.168 GB
Iter 359: Train loss 0.016, Learning Rate 1.000e-04, It/sec 2.723, Tokens/sec 209.641, Trained Tokens 21950, Peak mem 3.168 GB

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  5.20it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  5.19it/s]
Iter 360: Val loss 0.017, Val took 0.195s
